Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
2018-09-19 18:40:00,3267.01904296875,11.873869895935,3500.96001275344,63.5787200927734
2018-09-19 18:50:00,3192.68798828125,11.5891599655151,3443.07920367477,64.65576171875
2018-09-19 19:00:00,2890.67602539062,10.9618701934814,3258.81279939549,65.0297927856445
2018-09-19 19:10:00,2664.84497070312,10.3620901107788,2997.45070331646,65.3123779296875
2018-09-19 19:20:00,2810.01391601562,10.9339799880981,3248.63097703214,65.9491271972656
2018-09-19 19:30:00,2662.794921875,10.522569656372,3076.4812305783,66.323257446289
2018-09-19 19:40:00,2981.94702148437,11.1868095397949,3334.48679707286,68.1375427246093
2018-09-19 19:50:00,3076.62890625,11.5285301208496,3428.7906463741,68.8091201782226
2018-09-19 20:00:00,2930.62890625,11.0864295959472,3302.11155429713,70.205078125
2018-09-19 20:10:00,3289.52392578125,11.9249801635742,3509.79951901318,71.6164627075195
2018-09-19 20:20:00,2706.93701171875,10.7138395309448,3161.76551915622,73.0926132202148
2018-09-19 20:30:00,2569.8798828125,10.3052597045898,2967.75630269097,71.4125137329101
2018-09-19 20:40:00,2510.59106445312,10.4349098205566,3034.18230387765,71.8884963989257
2018-09-19 20:50:00,2714.34399414062,10.6452102661132,3132.24629568343,71.161033630371
2018-09-19 21:00:00,2656.7490234375,10.5256700515747,3077.93956770927,69.3884963989257
2018-09-19 21:10:00,2609.2548828125,10.3838195800781,3008.56506658798,70.1282196044921
2018-09-19 21:20:00,2759.06591796875,10.7546796798706,3178.77138937726,69.7331008911132
2018-09-19 21:30:00,3210.07495117187,11.8458204269409,3495.91284416235,70.9072113037109
2018-09-19 21:40:00,3214.11889648437,11.8358602523803,3494.08694225779,70.2671737670898
2018-09-19 22:00:00,3182.49609375,11.5625801086425,3436.90251074531,68.879768371582
2018-09-19 22:10:00,2927.85693359375,11.1399202346801,3319.63837004037,68.9968795776367
2018-09-19 22:20:00,3031.99096679687,11.2417001724243,3351.26688463723,68.5052032470703
2018-09-19 22:40:00,3085.2919921875,11.3822698593139,3391.34951871956,67.4012298583984
2018-09-19 22:50:00,3108.5810546875,11.4305696487426,3404.18572892938,67.1313018798828
2018-09-19 23:00:00,3171.27392578125,11.5729503631591,3439.32853047094,66.3939132690429
2018-09-19 23:10:00,2838.01806640625,10.8992500305175,3235.69832315431,65.3839035034179
2018-09-19 23:20:00,2844.72412109375,10.92928981781,3246.90096496843,66.834732055664
2018-09-19 23:30:00,3173.34399414062,11.6205902099609,3450.20861906417,65.4725265502929
2018-09-19 23:40:00,3049.48706054687,11.5147304534912,3425.438910357,64.7034606933593
2018-09-19 23:50:00,3110.85400390625,11.7556200027465,3478.72637352108,68.6207199096679
2018-09-20 00:00:00,3092.3798828125,11.7206401824951,3471.66350119648,68.1359710693359
2018-09-20 00:20:00,2936.97192382812,11.2725801467895,3360.42527560148,68.4599380493164
2018-09-20 00:30:00,2939.9169921875,11.1819400787353,3332.96697264269,66.8076782226562
2018-09-20 00:40:00,3206.19189453125,11.8639698028564,3499.19455692223,67.3262176513671
2018-09-20 01:10:00,3137.64501953125,11.5515098571777,3434.28984137417,66.1139221191406
2018-09-20 01:20:00,3303.63403320312,11.9135198593139,3507.85733953587,65.3546524047851
2018-09-20 01:30:00,3199.36499023437,11.8096704483032,3489.20109104806,65.9620666503906
2018-09-20 01:40:00,3144.14697265625,11.5815200805664,3441.31772259344,65.3126068115234
2018-09-20 01:50:00,3124.42993164062,11.7910099029541,3485.64459361677,67.5714874267578
2018-09-20 02:00:00,2977.462890625,11.0072498321533,3274.99568252986,65.6442413330078
